Trial,Concentration,soil_well,plate_unique,plate_id,plate_well,rfu
,,,plate_2,RFP_3_plate_1,C8,350.241
,,,plate_2,RFP_3_plate_1,C9,302.832
,,,plate_2,RFP_3_plate_1,C10,3.567
,,,plate_2,RFP_3_plate_1,C11,3.571
,,,plate_2,RFP_3_plate_1,C12,3.294
,,,plate_2,RFP_3_plate_1,D1,21.276
,,,plate_2,RFP_3_plate_1,D2,352.598
,,,plate_2,RFP_3_plate_1,D3,284.114
,,,plate_2,RFP_3_plate_1,D4,244.508
,,,plate_2,RFP_3_plate_1,D5,286.993
,,,plate_2,RFP_3_plate_1,D6,374.663
,,,plate_2,RFP_3_plate_1,D7,405.882
,,,plate_2,RFP_3_plate_1,D8,329.761
,,,plate_2,RFP_3_plate_1,D9,4.111
,,,plate_2,RFP_3_plate_1,D10,3.747
,,,plate_2,RFP_3_plate_1,D11,3.441
,,,plate_2,RFP_3_plate_1,D12,3.541
,,,plate_2,RFP_3_plate_1,E1,13.62
,,,plate_2,RFP_3_plate_1,E2,331.929
,,,plate_2,RFP_3_plate_1,E3,284.125
,,,plate_2,RFP_3_plate_1,E4,292.454
,,,plate_2,RFP_3_plate_1,E5,292.633
,,,plate_2,RFP_3_plate_1,E6,360.406
,,,plate_2,RFP_3_plate_1,E7,412.781
,,,plate_2,RFP_3_plate_1,E8,376.618
,,,plate_2,RFP_3_plate_1,E9,3.871
,,,plate_2,RFP_3_plate_1,E10,4.022
,,,plate_2,RFP_3_plate_1,E11,3.474
,,,plate_2,RFP_3_plate_1,E12,4.013
,,,plate_2,RFP_3_plate_1,F1,14.435
,,,plate_2,RFP_3_plate_1,F2,344.403
,,,plate_2,RFP_3_plate_1,F3,287.114
,,,plate_2,RFP_3_plate_1,F4,246.36
,,,plate_2,RFP_3_plate_1,F5,295.088
,,,plate_2,RFP_3_plate_1,F6,379.041
,,,plate_2,RFP_3_plate_1,F7,425.524
,,,plate_2,RFP_3_plate_1,F8,339.538
,,,plate_2,RFP_3_plate_1,F9,300.284
,,,plate_2,RFP_3_plate_1,F10,3.611
,,,plate_2,RFP_3_plate_1,F11,2.937
,,,plate_2,RFP_3_plate_1,F12,3.935
,,,plate_2,RFP_3_plate_1,G1,17.788
,,,plate_2,RFP_3_plate_1,G2,405.122
,,,plate_2,RFP_3_plate_1,G3,309.537
,,,plate_2,RFP_3_plate_1,G4,258.89
,,,plate_2,RFP_3_plate_1,G5,215.12
,,,plate_2,RFP_3_plate_1,G6,353.974
,,,plate_2,RFP_3_plate_1,G7,423.237
,,,plate_2,RFP_3_plate_1,G8,405.072
,,,plate_2,RFP_3_plate_1,G9,3.611
,,,plate_2,RFP_3_plate_1,G10,3.381
,,,plate_2,RFP_3_plate_1,G11,3.534
,,,plate_2,RFP_3_plate_1,G12,3.874
,,,plate_2,RFP_3_plate_1,H1,18.693
,,,plate_2,RFP_3_plate_1,H2,476.302
,,,plate_2,RFP_3_plate_1,H3,331.72
,,,plate_2,RFP_3_plate_1,H4,290.444
,,,plate_2,RFP_3_plate_1,H5,301.994
,,,plate_2,RFP_3_plate_1,H6,426.292
,,,plate_2,RFP_3_plate_1,H7,478.665
,,,plate_2,RFP_3_plate_1,H8,369.612
,,,plate_2,RFP_3_plate_1,H9,3.924
,,,plate_2,RFP_3_plate_1,H10,3.542
,,,plate_2,RFP_3_plate_1,H11,3.181
,,,plate_2,RFP_3_plate_1,H12,3.745
Bio_1,dil_10^-1,B1,plate_3,RFP_1_plate_1_shaking,A1,18.307
,,,plate_3,RFP_1_plate_1_shaking,A2,372.926
,,,plate_3,RFP_1_plate_1_shaking,A3,430.485
,,,plate_3,RFP_1_plate_1_shaking,A4,358.194
,,,plate_3,RFP_1_plate_1_shaking,A5,466.919
,,,plate_3,RFP_1_plate_1_shaking,A6,477.925
,,,plate_3,RFP_1_plate_1_shaking,A7,422.641
,,,plate_3,RFP_1_plate_1_shaking,A8,274.654
,,,plate_3,RFP_1_plate_1_shaking,A9,3.659
,,,plate_3,RFP_1_plate_1_shaking,A10,4.044
,,,plate_3,RFP_1_plate_1_shaking,A11,3.943
,,,plate_3,RFP_1_plate_1_shaking,A12,3.963
,,,plate_3,RFP_1_plate_1_shaking,B1,13.332
,,,plate_3,RFP_1_plate_1_shaking,B2,327.148
,,,plate_3,RFP_1_plate_1_shaking,B3,400.815
,,,plate_3,RFP_1_plate_1_shaking,B4,335.875
,,,plate_3,RFP_1_plate_1_shaking,B5,429.072
,,,plate_3,RFP_1_plate_1_shaking,B6,452.643
,,,plate_3,RFP_1_plate_1_shaking,B7,354.169
,,,plate_3,RFP_1_plate_1_shaking,B8,332.354
,,,plate_3,RFP_1_plate_1_shaking,B9,3.428
,,,plate_3,RFP_1_plate_1_shaking,B10,4.058
,,,plate_3,RFP_1_plate_1_shaking,B11,3.332
,,,plate_3,RFP_1_plate_1_shaking,B12,3.892
,,,plate_3,RFP_1_plate_1_shaking,C1,14.52
,,,plate_3,RFP_1_plate_1_shaking,C2,295.485
,,,plate_3,RFP_1_plate_1_shaking,C3,403.077
,,,plate_3,RFP_1_plate_1_shaking,C4,315.915
,,,plate_3,RFP_1_plate_1_shaking,C5,416.579
,,,plate_3,RFP_1_plate_1_shaking,C6,436.547
,,,plate_3,RFP_1_plate_1_shaking,C7,384.547
,,,plate_3,RFP_1_plate_1_shaking,C8,338.193
,,,plate_3,RFP_1_plate_1_shaking,C9,3.655
