plate_unique,plate_id,plate_well,rfu
plate_2,RFP_3_plate_1,B10,3.597
plate_2,RFP_3_plate_1,B11,2.638
plate_2,RFP_3_plate_1,B12,3.359
plate_2,RFP_3_plate_1,C1,15.565
plate_2,RFP_3_plate_1,C2,12.089
plate_2,RFP_3_plate_1,C3,3.344
plate_2,RFP_3_plate_1,C4,2.857
plate_2,RFP_3_plate_1,C5,3.451
plate_2,RFP_3_plate_1,C6,2.977
plate_2,RFP_3_plate_1,C7,2.97
plate_2,RFP_3_plate_1,C8,3.021
plate_2,RFP_3_plate_1,C9,3.029
plate_2,RFP_3_plate_1,C10,3.145
plate_2,RFP_3_plate_1,C11,3.296
plate_2,RFP_3_plate_1,C12,3.413
plate_2,RFP_3_plate_1,D1,18.515
plate_2,RFP_3_plate_1,D2,12.476
plate_2,RFP_3_plate_1,D3,3.402
plate_2,RFP_3_plate_1,D4,3.235
plate_2,RFP_3_plate_1,D5,3.155
plate_2,RFP_3_plate_1,D6,2.966
plate_2,RFP_3_plate_1,D7,3.282
plate_2,RFP_3_plate_1,D8,2.555
plate_2,RFP_3_plate_1,D9,3.148
plate_2,RFP_3_plate_1,D10,2.499
plate_2,RFP_3_plate_1,D11,2.959
plate_2,RFP_3_plate_1,D12,3.873
plate_2,RFP_3_plate_1,E1,15.082
plate_2,RFP_3_plate_1,E2,9.933
plate_2,RFP_3_plate_1,E3,3.56
plate_2,RFP_3_plate_1,E4,3.029
plate_2,RFP_3_plate_1,E5,2.805
plate_2,RFP_3_plate_1,E6,3.116
plate_2,RFP_3_plate_1,E7,2.895
plate_2,RFP_3_plate_1,E8,3.462
plate_2,RFP_3_plate_1,E9,2.935
plate_2,RFP_3_plate_1,E10,2.81
plate_2,RFP_3_plate_1,E11,2.851
plate_2,RFP_3_plate_1,E12,3.439
plate_2,RFP_3_plate_1,F1,21.642
plate_2,RFP_3_plate_1,F2,14.399
plate_2,RFP_3_plate_1,F3,4.975
plate_2,RFP_3_plate_1,F4,3.097
plate_2,RFP_3_plate_1,F5,3.053
plate_2,RFP_3_plate_1,F6,3.195
plate_2,RFP_3_plate_1,F7,3.575
plate_2,RFP_3_plate_1,F8,2.805
plate_2,RFP_3_plate_1,F9,3.123
plate_2,RFP_3_plate_1,F10,3.042
plate_2,RFP_3_plate_1,F11,2.753
plate_2,RFP_3_plate_1,F12,3.847
plate_2,RFP_3_plate_1,G1,23.246
plate_2,RFP_3_plate_1,G2,14.446
plate_2,RFP_3_plate_1,G3,3.199
plate_2,RFP_3_plate_1,G4,3.204
plate_2,RFP_3_plate_1,G5,2.931
plate_2,RFP_3_plate_1,G6,2.618
plate_2,RFP_3_plate_1,G7,2.801
plate_2,RFP_3_plate_1,G8,3.156
